,,Title,IP2 Regression,,,,
,,FPGA Release,version cc,,,,
,,Testbench (SVN tag),version_cc_original,,,,
,,Testbench (SVN tag location),svn://10.3.0.128/ip1x_fpga_vnv/tags/version_cc_original,,,,
,,Done by,Suresh Narayanan,,,,
,,Test start date,21-11-2014,,,,
,,Total Tests,194,,,,
,,Total Tests Passed,187,,,,
,,Total Tests Failed,7,,,,
,,Total Tests Not Complete,0,,,,
,,Total simulation time (approx),22:46:40,,,,
,,,,,,,
S.No.,Test Name, Test Status, Test Start Time, Test End Time, Test Run Time,Redmine/Jira ID,Bug Description
,,,,,,,
170,UFY/UFY002/,PASS,Fri 11/21/2014 19:50:28,Fri 11/21/2014 20:06:58,00:16:30,,
171,UFY/UFY003/,PASS,Fri 11/21/2014 20:07:02,Fri 11/21/2014 20:23:26,00:16:24,,
172,UFY/UFY004/,PASS,Fri 11/21/2014 20:23:30,Fri 11/21/2014 20:39:51,00:16:21,,
173,UFY/UFY005/,PASS,Fri 11/21/2014 20:39:55,Fri 11/21/2014 20:56:33,00:16:38,,
174,UFY/UFY006/,PASS,Fri 11/21/2014 20:56:37,Fri 11/21/2014 21:10:04,00:13:27,,
175,UFY/UFY007/,PASS,Fri 11/21/2014 21:10:08,Fri 11/21/2014 21:23:31,00:13:23,,
176,UFY/UFY008/,PASS,Fri 11/21/2014 21:23:35,Fri 11/21/2014 21:37:13,00:13:38,,
177,UFY/UFY009/,PASS,Fri 11/21/2014 21:37:17,Fri 11/21/2014 21:49:50,00:12:33,,
178,UFY/UFY010/,PASS,Fri 11/21/2014 21:49:54,Fri 11/21/2014 22:02:34,00:12:40,,
179,UFY/UFY011/,PASS,Fri 11/21/2014 22:02:38,Fri 11/21/2014 22:16:02,00:13:24,,
180,UFY/UFY012/,PASS,Mon 11/24/2014 22:28:19,Mon 11/24/2014 23:36:06,00:07:47,,
181,UFY/UFY014/,PASS,Mon 11/24/2014 23:36:08,Mon 11/24/2014 23:39:05,00:02:57,,
182,UFY/UFY016/,PASS,Mon 11/24/2014 23:39:07,Mon 11/24/2014 23:55:29,00:16:22,,
183,UFY/UFY017/,PASS,Mon 11/24/2014 23:55:32,Tue 11/25/2014  0:09:38,00:14:06,,
